Sr. No.,Pl. Name,Price,Sold to
3,Harshal Patel ,107500000, Royal Challengers Bangalore
4,Dinesh  Karthik ,55000000, Royal Challengers Bangalore
5,Josh Hazlewood  ,77500000, Royal Challengers Bangalore
6,Shahbaz Ahamad ,24000000, Royal Challengers Bangalore
7,Anuj Rawat ,34000000, Royal Challengers Bangalore
8,Akash  Deep  ,2000000, Royal Challengers Bangalore
9,Karn Sharma ,5000000, Royal Challengers Bangalore
10,Mahipal Lomror ,9500000, Royal Challengers Bangalore
11,Finn Allen ,8000000, Royal Challengers Bangalore
12,Sherfane Rutherford ,10000000, Royal Challengers Bangalore
13,Jason Behrendorff ,7500000, Royal Challengers Bangalore
14,Siddharth  Kaul ,7500000, Royal Challengers Bangalore
15,Suyash Prabhudessai ,3000000, Royal Challengers Bangalore
16,Luvnith Sisodia ,2000000, Royal Challengers Bangalore
17,Chama Milind ,2500000, Royal Challengers Bangalore
18,Aneeshwar Gautam ,2000000, Royal Challengers Bangalore
19,David Willey  ,20000000, Royal Challengers Bangalore
1,Washington Sundar ,87500000, Sunrisers Hyderabad
2,Nicholas Pooran ,107500000, Sunrisers Hyderabad
3,Bhuvneshwar Kumar ,42000000, Sunrisers Hyderabad
4,T. Natarajan ,40000000, Sunrisers Hyderabad
5,Priyam  Garg ,2000000, Sunrisers Hyderabad
6,Rahul Tripathi ,85000000, Sunrisers Hyderabad
7,Abhishek Sharma ,65000000, Sunrisers Hyderabad
8,Vishnu Vinod ,5000000, Sunrisers Hyderabad
9,Kartik Tyagi ,40000000, Sunrisers Hyderabad
10,Shreyas Gopal ,7500000, Sunrisers Hyderabad
11,Jagadeesha Suchith ,2000000, Sunrisers Hyderabad
12,Aiden Markram ,26000000, Sunrisers Hyderabad
13,Marco Jansen ,42000000, Sunrisers Hyderabad
14,Romario Shepherd ,77500000, Sunrisers Hyderabad
15,Glenn Phillips ,15000000, Sunrisers Hyderabad
16,Fazalhaq Farooqi ,5000000, Sunrisers Hyderabad
17,Sean Abbott ,24000000, Sunrisers Hyderabad
18,R Samarth ,2000000, Sunrisers Hyderabad
19,Shashank Singh ,2000000, Sunrisers Hyderabad
20,Saurabh Dubey ,2000000, Sunrisers Hyderabad
